iter	Logloss
0	0.682171805
1	0.6717172668
2	0.6614380365
3	0.6515732081
4	0.6414513203
5	0.6326309394
6	0.624775335
7	0.6158141584
8	0.6088204666
9	0.6011746189
10	0.5950883483
11	0.5888987857
12	0.5827022357
13	0.5760171775
14	0.5702522517
15	0.5648548968
16	0.559426802
17	0.5544187044
18	0.549126618
19	0.5442976944
20	0.5394056454
21	0.5344836938
22	0.5303344242
23	0.5260879735
24	0.5221987485
25	0.5181972745
26	0.5146599463
27	0.5114368254
28	0.5087292976
29	0.5053821171
30	0.5025375542
31	0.4999355819
32	0.4972257915
33	0.4943127635
34	0.4919985506
35	0.4892413607
36	0.4867775
37	0.4843419535
38	0.4820571183
39	0.4800157503
40	0.4778613467
41	0.4756210952
42	0.4735156535
43	0.4719421455
44	0.4696226833
45	0.4679082524
46	0.4658527838
47	0.4637333006
48	0.4620971182
49	0.4610823558
50	0.4596804245
51	0.4581390084
52	0.457266412
53	0.4558247161
54	0.4546553911
55	0.453105115
56	0.4518973229
57	0.4504246294
58	0.4494484378
59	0.4480009222
60	0.446957387
61	0.4457341557
62	0.4448180826
63	0.4437507347
64	0.4427134755
65	0.4418066217
66	0.4404928029
67	0.4398193499
68	0.4390240742
69	0.4382224306
70	0.4373999157
71	0.436822396
72	0.4360234137
73	0.4353928497
74	0.434582257
75	0.4336377532
76	0.4330484699
77	0.432137526
78	0.4317473635
79	0.4312212588
80	0.4307169155
81	0.4297783958
82	0.4293210058
83	0.4287014762
84	0.42836523
85	0.4276602983
86	0.4268749311
87	0.4260448027
88	0.4252297698
89	0.4247131796
90	0.4242546185
91	0.4235411368
92	0.4230574782
93	0.4225235901
94	0.4219467256
95	0.4213121091
96	0.4208625027
97	0.4203797226
98	0.4197227346
99	0.4192936878
100	0.4188060787
101	0.4184017801
102	0.4177424881
103	0.4171561069
104	0.4165937762
105	0.4157963358
106	0.4155637912
107	0.4149922935
108	0.4145294008
109	0.4139145957
110	0.4136555535
111	0.4131853673
112	0.4127188
113	0.4121551968
114	0.4117117506
115	0.4113961383
116	0.4109228345
117	0.4106705186
118	0.410246393
119	0.4099834229
120	0.4095452258
121	0.4093016984
122	0.4086634143
123	0.4080983435
124	0.4076743418
125	0.4071461408
126	0.4067569485
127	0.4064851716
128	0.4062918473
129	0.4060036091
130	0.4055191497
131	0.4052668038
132	0.4049293831
133	0.4047025883
134	0.4041972074
135	0.4040351399
136	0.4038269297
137	0.403427458
138	0.403232742
139	0.403049946
140	0.4027827847
141	0.4025883986
142	0.4024094745
143	0.4022466234
144	0.4019229424
145	0.4016878066
146	0.4014143441
147	0.4010951064
148	0.4007966424
149	0.4004152863
