iter	Passed	Remaining
0	0	97
1	1	89
2	1	84
3	2	81
4	2	79
5	3	77
6	3	76
7	4	75
8	4	74
9	5	73
10	5	72
11	6	71
12	6	70
13	8	84
14	9	85
15	10	85
16	10	85
17	11	83
18	11	82
19	12	81
20	13	80
21	13	79
22	14	78
23	14	77
24	15	76
25	15	75
26	16	74
27	16	73
28	17	72
29	17	70
30	18	70
31	18	69
32	19	68
33	19	67
34	20	66
35	20	65
36	21	65
37	23	67
38	23	67
39	24	66
40	25	66
41	25	65
42	26	64
43	26	64
44	27	63
45	27	62
46	28	61
47	28	60
48	29	59
49	29	59
50	30	58
51	30	57
52	31	57
53	31	56
54	32	55
55	32	54
56	33	53
57	33	53
58	34	52
59	34	51
60	35	51
61	35	50
62	36	49
63	38	51
64	38	50
65	39	49
66	39	49
67	40	48
68	40	47
69	41	47
70	41	46
71	42	45
72	42	45
73	43	44
74	43	43
75	44	43
76	44	42
77	45	41
78	45	41
79	46	40
80	46	39
81	47	39
82	47	38
83	48	37
84	48	37
85	49	36
86	49	36
87	50	35
88	52	35
89	53	35
90	54	35
91	54	34
92	55	33
93	55	33
94	56	32
95	56	31
96	57	31
97	57	30
98	58	30
99	59	29
100	59	28
101	60	28
102	60	27
103	61	27
104	61	26
105	62	25
106	62	25
107	63	24
108	64	24
109	64	23
110	65	22
111	67	23
112	69	22
113	70	22
114	70	21
115	71	20
116	71	20
117	72	19
118	72	18
119	73	18
120	73	17
121	74	17
122	74	16
123	75	15
124	75	15
125	76	14
126	76	13
127	77	13
128	77	12
129	78	12
130	78	11
131	79	10
132	79	10
133	81	9
134	82	9
135	83	8
136	83	7
137	84	7
138	84	6
139	85	6
140	85	5
141	86	4
142	86	4
143	86	3
144	87	3
145	87	2
146	88	1
147	88	1
148	89	0
149	89	0
